frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
432,7.2072,519,492,504,650,-33.009,-5.423,0
433,7.22388,512,486,502,646,-36.235,-3.576,0
434,7.24057,508,484,500,643,-37.783,-2.88,0
435,7.25725,504,479,498,640,-39.987,-2.134,0
436,7.27393,501,477,496,638,-41.252,-1.779,0
437,7.29062,499,476,493,636,-42.013,-2.148,0
438,7.3073,499,475,490,636,-42.25,-3.2,0
439,7.32398,500,476,486,636,-41.751,-5.001,0
440,7.34067,503,477,482,638,-40.717,-7.431,0
441,7.35735,505,480,478,640,-39.489,-9.578,0
442,7.37403,509,483,474,641,-37.72,-12.49,0
443,7.39072,515,487,469,643,-35.166,-16.429,0
444,7.4074,521,493,465,644,-32.229,-20.348,0
445,7.42408,530,497,462,643,-28.78,-24.974,0
446,7.44077,540,502,460,640,-24.825,-30.101,0
447,7.45745,550,506,459,638,-21.012,-34.582,0
448,7.47413,560,511,460,634,-17.103,-39.111,0
449,7.49082,572,513,464,631,-12.836,-42.466,0
450,7.5075,581,516,468,629,-9.52,-45.0,0
451,7.52418,591,516,475,626,-6.028,-46.521,0
452,7.54087,600,517,482,625,-2.827,-47.534,0
453,7.55755,609,516,491,625,0.356,-47.27,0
454,7.57423,618,514,501,627,3.599,-45.996,0
455,7.59092,626,517,512,631,6.34,-45.0,0
456,7.6076,632,515,524,635,8.531,-41.987,0
457,7.62428,637,510,537,639,10.597,-37.783,0
458,7.64097,642,512,551,645,12.219,-34.38,0
459,7.65765,646,510,567,652,13.775,-29.089,0
460,7.67433,648,511,585,659,14.381,-23.058,0
461,7.69102,649,510,604,665,14.816,-16.189,0
462,7.7077,649,510,623,671,14.816,-9.174,0
463,7.72438,647,510,646,674,14.123,-0.349,0
464,7.74107,643,511,665,673,12.645,7.734,0
465,7.75775,639,513,687,670,11.101,17.0,0
466,7.77443,636,516,708,660,9.866,26.565,0
467,7.79112,631,512,725,649,8.334,34.455,0
468,7.8078,629,514,738,636,7.524,41.779,0
469,7.82448,627,516,750,623,6.73,48.979,0
470,7.84117,625,515,759,610,6.065,54.665,0
471,7.85785,626,515,766,599,6.419,59.036,0
472,7.87453,628,518,771,589,6.995,63.595,0
473,7.89122,627,515,776,579,6.772,66.755,0
474,7.9079,630,516,780,572,7.781,69.528,0
475,7.92458,629,515,783,565,7.477,72.013,0
476,7.94127,631,516,786,561,8.13,73.811,0
477,7.95795,632,515,787,558,8.531,74.495,0
478,7.97463,635,515,789,558,9.578,74.399,0
479,7.99132,636,515,790,560,9.926,73.711,0
480,8.008,637,515,790,563,10.273,72.582,0
481,8.02468,637,515,790,568,10.273,70.894,0
482,8.04137,640,515,789,575,11.31,68.066,0
483,8.05805,641,515,787,583,11.654,65.026,0
484,8.07473,643,514,782,594,12.414,60.078,0
485,8.09142,645,512,776,606,13.261,54.338,0
486,8.1081,647,512,770,618,13.95,49.246,0
487,8.12478,650,510,761,631,15.161,42.532,0
488,8.14147,653,508,749,643,16.39,35.417,0
489,8.15815,657,507,734,653,17.868,27.807,0
490,8.17483,661,505,717,661,19.46,19.747,0
491,8.19152,665,504,699,665,20.934,11.925,0
492,8.2082,667,503,680,666,21.735,4.56,0
493,8.22488,669,503,662,666,22.4,-2.459,0
494,8.24157,669,503,643,664,22.4,-9.174,0
495,8.25825,667,503,627,661,21.735,-14.207,0
496,8.27493,664,505,609,660,20.472,-19.537,0
497,8.29162,660,507,594,657,18.886,-23.749,0
