stem,x_param,theta1_deg,omega1_deg_s
3.2V_0.97Hz,0.9700,25.9564,606.5653
3.2V_0.97Hz,0.9700,17.5435,80.0117
3.2V_0.97Hz,0.9700,14.2803,217.4093
3.2V_0.97Hz,0.9700,20.1989,523.6869
3.2V_0.97Hz,0.9700,19.9101,94.6090
3.2V_0.97Hz,0.9700,26.3278,149.2913
3.2V_0.97Hz,0.9700,29.0299,-98.5305
3.2V_0.97Hz,0.9700,10.7782,198.8710
3.2V_0.97Hz,0.9700,21.4553,201.4427
3.2V_0.97Hz,0.9700,63.8994,416.9315
3.2V_0.97Hz,0.9700,22.0016,127.0948
3.2V_0.97Hz,0.9700,42.6442,380.7775
3.2V_0.97Hz,0.9700,15.2159,92.3220
3.2V_0.97Hz,0.9700,20.5025,290.5236
3.2V_0.97Hz,0.9700,58.5860,309.2704
3.2V_0.97Hz,0.9700,14.9870,53.3681
3.2V_0.97Hz,0.9700,27.9777,132.7167
3.2V_0.97Hz,0.9700,37.7015,440.8847
3.2V_0.97Hz,0.9700,19.8572,69.1566
3.2V_0.97Hz,0.9700,28.6075,341.9822
3.2V_0.97Hz,0.9700,5.7493,548.7615
3.2V_0.97Hz,0.9700,3.2387,168.0323
3.2V_0.97Hz,0.9700,31.8459,476.3400
3.2V_0.97Hz,0.9700,10.7857,176.5145
3.2V_0.97Hz,0.9700,34.8868,493.0055
3.2V_0.97Hz,0.9700,61.3629,384.6014
3.2V_0.97Hz,0.9700,13.3178,478.4202
3.2V_0.97Hz,0.9700,26.2154,279.4145
3.2V_0.97Hz,0.9700,4.5137,469.3961
3.2V_0.97Hz,0.9700,18.5770,158.7898
3.2V_0.97Hz,0.9700,29.2867,523.1058
3.2V_0.97Hz,0.9700,22.5276,54.1610
3.2V_0.97Hz,0.9700,23.2993,147.6169
3.2V_0.97Hz,0.9700,43.9012,411.5745
3.2V_0.97Hz,0.9700,17.5667,92.4010
3.2V_0.97Hz,0.9700,35.2528,293.6058
3.2V_0.97Hz,0.9700,15.0182,550.5971
3.2V_0.97Hz,0.9700,24.4279,228.5503
3.2V_0.97Hz,0.9700,15.7363,-221.4409
3.2V_0.97Hz,0.9700,14.2327,239.6459
3.2V_0.97Hz,0.9700,38.0002,303.0343
3.2V_0.97Hz,0.9700,11.3836,573.7259
3.2V_0.97Hz,0.9700,18.0546,194.1112
3.2V_0.97Hz,0.9700,41.8524,449.1579
3.2V_0.97Hz,0.9700,17.3434,117.8687
3.2V_0.97Hz,0.9700,33.7284,490.4547
3.2V_0.97Hz,0.9700,40.8084,428.6223
3.2V_0.97Hz,0.9700,-1.9006,598.8310
3.2V_0.97Hz,0.9700,17.3426,243.0913
3.2V_0.97Hz,0.9700,40.9418,348.5404
3.2V_0.97Hz,0.9700,19.7134,250.4796
3.2V_0.97Hz,0.9700,46.9048,657.8016
3.2V_0.97Hz,0.9700,27.2853,181.3212
3.2V_0.97Hz,0.9700,39.4273,320.5879
3.2V_0.97Hz,0.9700,16.3532,155.1783
3.2V_0.97Hz,0.9700,40.0853,447.9561
3.2V_0.97Hz,0.9700,21.0114,608.0537
3.2V_0.97Hz,0.9700,12.7094,201.3355
3.2V_0.97Hz,0.9700,20.6998,446.8860
3.2V_0.97Hz,0.9700,17.2720,196.8079
3.2V_0.97Hz,0.9700,26.9833,118.9320
3.2V_0.97Hz,0.9700,56.0363,216.0826
